Firm,exchange,industry,year,asset_turnover,roa,roe,current_ratio,interest_cover,debt_to_equity_perc,debt-to_asset_perc,emission_trading,esg_combined,Environmental,Social,Governance,debt_to_asset_perc,Scope_1_and_2,co2_emission,size,ln_revenue,ln_debt,ln_equity,z_score,ln_co2_revenue,emission
DDR.AX,AX,Wholesale Trade,2020,2.46688327,15.02709996,63.78292037,1.13741,24.20924,75.95738,21.09426,FALSE,34.66303653,3.58441558,40.6377748,49.90693739,21.09426,21758.96883,13499.5,20.181887,21.41646902,18.62571735,18.90071515,6.35524488,-11.90606109,0.00674937
DDR.AX,AX,Wholesale Trade,2021,2.46688327,14.63677207,61.83813362,1.10771,28.12181,130.86199,27.31726,FALSE,41.84173906,8.28029602,45.84802983,62.66505636,27.31726,15374.54972,6592.54,20.565586,21.63332077,19.26793432,18.99896126,5.65006975,-12.83962678,0.00265351
DDR.AX,AX,Wholesale Trade,2022,2.38356395,11.29263899,51.34290793,1.07126,10.4216,135.07832,30.99795,FALSE,40.94966165,8.59633028,43.51197752,63.34130781,30.99795,16294.67033,8008.95,20.726154,21.51768584,19.55490468,19.2542201,3.7378812,-12.52937089,0.00361879
BAP.AX,AX,Wholesale Trade,2014,1.35098403,0.6489013,2.25978586,1.65671,1.56052,75.64072,30.51746,FALSE,15.65965531,0,15.26484173,38.25654923,30.51746,,14337.3,19.297515,19.64929445,18.11064399,18.38981939,0,-10.07867464,0.041965
BAP.AX,AX,Wholesale Trade,2015,1.26255008,9.64917297,15.76537707,2.57079,10.60999,0.33834,0.23112,FALSE,19.4394157,0,14.67450314,54.78142077,0.23112,29061.34692,15527.1,19.685401,19.74328156,16.12036684,19.40247828,11.63045548,-10.0929394,0.04137063
BAP.AX,AX,Wholesale Trade,2016,1.32152632,11.97264541,19.62141374,1.76207,14.02285,40.46311,21.68265,FALSE,20.74073146,0,14.64090575,60.18134715,21.68265,50800.29647,28654.6,20.342623,20.34584722,18.8139653,19.7187448,6.27378667,-10.08277796,0.04179316
BAP.AX,AX,Wholesale Trade,2017,1.00345771,7.89259653,16.67456261,2.1771,10.03154,72.84255,32.14987,FALSE,19.30640145,1.37312381,15.8194767,50.360134,32.14987,74948.68248,41132.7,21.013469,20.73672782,19.87870722,20.1843939,4.38552419,-10.11216911,0.04058268
BAP.AX,AX,Wholesale Trade,2018,0.96456851,9.20624472,19.15649677,1.96122,9.82664,50.82744,26.59743,FALSE,20.2725381,3.76963912,15.00780603,52.35588972,26.59743,85945.61435,47539.7,20.928259,20.93569702,19.60390375,20.27689904,5.3340333,-10.16637658,0.03844136
BAP.AX,AX,Wholesale Trade,2019,1.00478181,10.43535337,19.73700893,2.29351,9.78113,52.67001,28.10717,FALSE,24.28389318,7.03058423,24.7825891,47.5879721,28.10717,84138.09362,43039.8,21.025816,20.98299741,19.7566708,20.39469788,5.09112652,-10.31311686,0.03319482
BAP.AX,AX,Wholesale Trade,2020,0.96446776,7.34335485,13.06994413,1.98456,6.48834,41.83863,24.45762,TRUE,42.81008817,15.789801,54.97159651,59.8963621,24.45762,92272.10439,35459.4,21.24204,21.10358201,19.83381176,20.70331514,5.08715291,-10.62743835,0.02424165
BAP.AX,AX,Wholesale Trade,2021,1.01562696,9.88235104,16.92785201,1.87747,12.43701,41.2733,24.06489,TRUE,51.65888817,44.53433887,53.35753437,58.73612171,24.06489,115731.7786,37378.3,21.305016,21.28952976,19.88059957,20.76420622,6.28962342,-10.76068416,0.0212175
BAP.AX,AX,Wholesale Trade,2022,0.97436165,9.42047884,16.67862354,2.41905,10.09175,54.90567,30.1124,TRUE,51.74157182,44.87946421,58.14454959,50.17847992,30.1124,22065,22065,21.412192,21.3340662,20.21195843,20.81036879,5.11223615,-11.33231828,0.01197945
BAP.AX,AX,Wholesale Trade,2023,0.98979419,7.2678167,13.38590632,2.26027,5.98714,57.0984,30.70277,TRUE,55.56294132,50.61285296,61.07822584,52.81543816,30.70277,28321,28321,21.461566,21.42692507,20.28074818,20.8402441,4.67496942,-11.17556621,0.01401242
BAP.AX,AX,Wholesale Trade,2024,1.01918753,-8.10346294,-16.03953954,2.33479,2.81649,77.61706,36.44268,TRUE,54.54405561,51.39896012,58.30465929,52.24788266,36.44268,,29885,21.367645,21.43471354,20.35821592,20.61067144,3.93032749,-11.12960158,0.01467153
BBN.AX,AX,Wholesale Trade,2016,2.06785166,10.63957955,14.79561486,2.11683,36.42065,0.33834,0.23112,FALSE,26.19192887,1.66666667,22.78807947,42.23661485,0.23112,3845.149115,5338.37,18.625742,19.28297981,15.04037238,18.3451379,0,-10.70030417,0.02253808
BBN.AX,AX,Wholesale Trade,2017,2.16681019,13.78979812,18.94012373,2.05566,41.96065,5.09944,3.58533,FALSE,24.78208299,2.40384615,24.40490798,36.39028476,3.58533,4510.453246,5851.13,18.712447,19.44328993,15.38412648,18.36016612,9.18853599,-10.76889985,0.0210439
BBN.AX,AX,Wholesale Trade,2018,1.65109974,6.78766648,13.88224986,1.1061,20.22734,123.21033,45.20829,FALSE,27.53493041,1.70940171,26.00552486,42.14703425,45.20829,3762.312533,5536.44,19.274828,19.53410282,18.48093824,18.27221554,1.90478342,-10.91499585,0.0181835
BBN.AX,AX,Wholesale Trade,2019,1.4973371,7.02890738,19.33011463,0.97125,4.0503,119.53449,43.10513,FALSE,33.10799381,1.63398693,46.37618364,34.1025641,43.10513,3245.270196,5094.1,19.363158,19.72365599,18.52162954,18.34319477,2.41042658,-11.18781771,0.0138418
BBN.AX,AX,Wholesale Trade,2020,1.5738385,5.85635102,16.21941446,1.03394,4.63134,113.50448,41.03523,FALSE,29.023529,1.37254902,43.83891512,26.38747885,41.03523,21577.06734,3746,19.369481,19.81984197,18.47874208,18.35206994,3.549755,-11.59139809,0.00924527
BBN.AX,AX,Wholesale Trade,2021,1.67863824,8.08251679,22.61498273,1.219,4.9915,127.49496,45.1123,FALSE,29.17535037,1.59152809,51.21545095,18.47826087,45.1123,6482,6482,19.518569,19.96478409,18.72255414,18.47964752,5.08158034,-11.1879997,0.01383928
